shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
43cc2f99-9cd0-4c51-991d-fe87642b091a,0,40.749716,-73.991780,0
43cc2f99-9cd0-4c51-991d-fe87642b091a,1,41.190104,-73.882939,49814.2626504117652
43cc2f99-9cd0-4c51-991d-fe87642b091a,2,41.706241,-73.937903,107388.750874712656
43cc2f99-9cd0-4c51-991d-fe87642b091a,3,41.921415,-73.951678,131342.252622521773
43cc2f99-9cd0-4c51-991d-fe87642b091a,4,42.254045,-73.798041,170441.632025997329
43cc2f99-9cd0-4c51-991d-fe87642b091a,5,42.641685,-73.741372,213795.308725814917
43cc2f99-9cd0-4c51-991d-fe87642b091a,6,42.814465,-73.942494,239073.633165165927
43cc2f99-9cd0-4c51-991d-fe87642b091a,7,43.104900,-75.223045,348168.325031611661
43cc2f99-9cd0-4c51-991d-fe87642b091a,8,43.076866,-76.170230,425144.852024112712
43cc2f99-9cd0-4c51-991d-fe87642b091a,9,43.163683,-77.608484,542275.69450349221
43cc2f99-9cd0-4c51-991d-fe87642b091a,10,42.907343,-78.726847,637535.194070492871
17119301-6dc3-4b87-8c58-c6c8bef26396,0,42.907343,-78.726847,0
17119301-6dc3-4b87-8c58-c6c8bef26396,1,43.163683,-77.608484,95259.4995670006465
17119301-6dc3-4b87-8c58-c6c8bef26396,2,43.076866,-76.170230,212390.342046380101
17119301-6dc3-4b87-8c58-c6c8bef26396,3,43.104900,-75.223045,289366.869038881152
17119301-6dc3-4b87-8c58-c6c8bef26396,4,42.814465,-73.942494,398461.560905326856
17119301-6dc3-4b87-8c58-c6c8bef26396,5,42.641685,-73.741372,423739.885344677896
17119301-6dc3-4b87-8c58-c6c8bef26396,6,42.254045,-73.798041,467093.562044495484
17119301-6dc3-4b87-8c58-c6c8bef26396,7,41.921415,-73.951678,506192.941447971039
17119301-6dc3-4b87-8c58-c6c8bef26396,8,41.706241,-73.937903,530146.443195780157
17119301-6dc3-4b87-8c58-c6c8bef26396,9,41.190104,-73.882939,587720.931420081062
17119301-6dc3-4b87-8c58-c6c8bef26396,10,40.749716,-73.991780,637535.194070492871
770c9aa0-3283-4d77-a606-a32303c5d2f2,0,43.113077,-79.031525,0
770c9aa0-3283-4d77-a606-a32303c5d2f2,1,42.878211,-78.873374,29111.4582068362106
770c9aa0-3283-4d77-a606-a32303c5d2f2,2,42.907343,-78.726847,41479.9428117165153
770c9aa0-3283-4d77-a606-a32303c5d2f2,3,43.163683,-77.608484,136739.442378717154
770c9aa0-3283-4d77-a606-a32303c5d2f2,4,43.076866,-76.170230,253870.284858096624
770c9aa0-3283-4d77-a606-a32303c5d2f2,5,43.199834,-75.449681,313912.729784439027
770c9aa0-3283-4d77-a606-a32303c5d2f2,6,43.104900,-75.223045,335112.734053900291
770c9aa0-3283-4d77-a606-a32303c5d2f2,7,42.953541,-74.219674,418388.917255697073
770c9aa0-3283-4d77-a606-a32303c5d2f2,8,42.814465,-73.942494,445759.824336604215
770c9aa0-3283-4d77-a606-a32303c5d2f2,9,42.641685,-73.741372,471038.148775955255
770c9aa0-3283-4d77-a606-a32303c5d2f2,10,42.254045,-73.798041,514391.825475772843
770c9aa0-3283-4d77-a606-a32303c5d2f2,11,41.921415,-73.951678,553491.204879248398
770c9aa0-3283-4d77-a606-a32303c5d2f2,12,41.706241,-73.937903,577444.706627057516
770c9aa0-3283-4d77-a606-a32303c5d2f2,13,41.190104,-73.882939,635019.194851358421
770c9aa0-3283-4d77-a606-a32303c5d2f2,14,40.936162,-73.903009,663306.343997916789
