service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
296b118c-a25c-49c8-929a-afce2227635f,0,0,0,0,0,1,0,20190630,20200630
1472585,0,0,0,0,0,1,1,20190630,20200630
c01663f4-e7cb-4b21-95f3-a0922af9bd16,1,1,1,1,0,0,0,20190630,20200630
3cfd7c48-c1b7-4cee-b7fb-8c9ae6a34529,0,0,0,0,1,0,0,20190630,20200630
WD,1,1,1,1,1,0,0,20190630,20200630
D,1,1,1,1,1,1,1,20190630,20200630
1474095,1,1,1,1,0,0,0,20190630,20200630
f57d6872-b179-40d1-be76-b0a3fddcb6d3,0,0,0,0,0,1,1,20190630,20200630
88cc1f69-633d-4c7e-8e1a-406710a5bab4,0,0,0,0,0,0,1,20190630,20200630
1474334,1,1,1,1,1,1,0,20190630,20200630
1472587,1,1,1,1,1,0,0,20190630,20200630
